Span (m),Depth (mm),Factored load (kN/m),,,,,,,,,,,,
,"1,000","14.0
5.4
1.67","14.4
5.4
1.63","14.5
5.5
1.58","15.2
5.7
1.50","17.8
6.8
1.49","20.5
7.8
1.45","22.4
8.8
1.35","23.7
9.4
1.29","26.3
10.5
1.25","27.6
11.1
1.20","28.8
11.7
1.00","31.4
12.9
1.00","32.7
13.5
1.00"
13,650,"13.0
2.0
1.01","15.1
2.4
1.06","18.4
3.0
1.13","21.7
3.6
1.18","25.0
4.2
1.24","28.6
4.9
1.19","32.2
5.5
1.21","36.2
6.2
1.24","41.8
7.1
1.59","45.0
7.7
1.44","48.5
8.3
1.35","51.8
8.9
1.32","52.3
9.1
1.31"
,700,"13.1
2.3
1.01","14.2
2.5
1.03","17.4
3.2
1.09","19.3
3.6
1.10","22.7
4.3
1.14","25.0
4.8
1.10","28.6
5.5
1.13","31.3
6.0
1.14","34.3
6.6
1.17","38.0
7.3
1.36","42.5
8.2
1.24","45.3
8.8
1.19","49.3
9.6
1.26"
,750,"13.2
2.6
1.00","13.7
2.7
1.02","15.8
3.2
1.02","18.2
3.8
1.06","20.9
4.4
1.08","23.5
4.9
1.08","26.2
5.6
1.08","29.1
6.2
1.10","31.5
6.8
1.11","34.3
7.3
1.28","37.7
8.1
1.18","43.6
9.4
1.21","46.0
10.0
1.18"
,800,"13.4
2.9
1.02","13.9
3.0
1.00","15.6
3.5
1.02","18.2
4.1
1.05","20.2
4.7
1.05","22.8
5.3
1.05","25.6
6.0
1.06","28.3
6.7
1.07","30.3
7.1
1.09","32.9
7.8
1.00","35.5
8.4
1.14","39.2
9.3
1.18","44.2
10.6
1.18"
,900,"13.5
3.6
1.00","14.0
3.6
1.01","15.7
4.1
1.00","17.7
4.8
1.00","19.4
5.3
1.00","22.0
6.1
1.00","24.8
6.9
1.00","26.9
7.4
1.00","28.5
8.0
1.00","31.9
9.1
1.00","33.2
9.5
1.05","35.9
10.3
1.05","40.9
11.7
1.05"
,"1,000","13.7
4.3
1.60","14.1
4.3
1.56","14.8
4.5
1.47","17.4
5.4
1.46","19.8
6.2
1.46","21.2
6.8
1.31","23.9
7.8
1.24","26.1
8.6
1.24","28.1
9.3
1.22","30.2
10.1
1.13","31.5
10.6
1.02","35.0
11.7
1.02","36.5
12.3
1.00"
,"1,100","14.3
5.1
1.64","14.6
5.2
1.59","14.7
5.2
1.47","18.7
6.6
1.45","20.7
7.4
1.44","22.1
8.0
1.30","23.6
8.7
1.22","26.1
9.7
1.25","27.6
10.5
1.22","29.6
11.3
1.11","31.3
12.0
1.00","33.4
13.0
1.00","36.0
14.0
1.00"
14,700,"13.2
1.9
1.02","16.0
2.4
1.07","20.0
3.1
1.11","23.7
3.7
1.21","26.8
4.2
1.16","30.5
4.9
1.15","34.3
5.4
1.17","38.2
6.1
1.42","45.2
7.1
1.36","45.1
7.2
1.24","51.9
8.4
1.34","56.2
9.0
1.38","57.1
9.2
1.32"
,750,"13.1
2.1
1.01","14.9
2.5
1.03","18.1
3.1
1.05","21.0
3.6
1.07","24.4
4.3
1.10","27.5
4.8
1.07","31.3
5.5
1.09","34.5
6.1
1.15","37.9
6.7
1.23","42.0
7.5
1.18","45.3
8.1
1.22","49.1
8.8
1.24","52.9
9.6
1.22"
,800,"13.3
2.3
1.01","14.5
2.6
1.01","17.5
3.3
1.02","19.7
3.7
1.03","22.5
4.3
1.03","25.6
4.9
1.03","28.4
5.5
1.03","31.2
6.1
1.28","37.2
7.2
1.19","37.6
7.4
1.13","43.0
8.4
1.22","45.7
9.1
1.15","45.9
9.1
1.09"
,900,"13.5
2.9
1.00","14.3
3.0
1.00","17.1
3.8
1.00","19.1
4.3
1.00","22.2
5.0
1.00","24.4
5.6
1.00","27.5
6.3
1.00","30.3
7.0
1.00","33.3
7.9
1.11","35.9
8.5
1.07","37.5
8.9
1.11","42.2
10.0
1.10","44.3
10.7
1.08"
,"1,000","13.9
3.6
1.57","14.3
3.6
1.51","17.0
4.3
1.47","18.5
4.8
1.41","21.1
5.7
1.30","24.6
6.6
1.25","26.5
7.2
1.23","28.7
7.9
1.17","31.5
8.8
1.06","33.2
9.3
1.02","36.4
10.3
1.06","40.7
11.3
1.07","42.0
11.9
1.02"
,"1,100","14.1
4.2
1.61","14.5
4.2
1.51","17.2
4.8
1.37","19.1
5.7
1.37","21.5
6.4
1.28","23.2
7.1
1.19","26.1
8.1
1.19","27.8
8.7
1.14","29.5
9.4
1.00","32.8
10.5
1.00","35.4
11.4
1.03","36.1
11.7
1.01","41.0
13.1
1.00"
,"1,200","15.6
5.1
1.59","15.6
5.1
1.47","16.3
5.3
1.37","18.8
6.3
1.36","22.0
7.4
1.28","23.6
8.1
1.22","26.0
9.2
1.19","27.3
9.7
1.12","29.7
10.6
1.02","31.7
11.4
1.00","33.0
11.9
1.00","36.4
13.3
1.00","40.7
14.6
1.00"
15,750,"14.1
1.9
1.04","17.6
2.5
1.09","21.4
3.1
1.12","25.2
3.7
1.11","29.2
4.3
1.11","33.1
4.9
1.20","37.2
5.5
1.10","41.9
6.2
1.26","45.5
6.7
1.27","49.0
7.2
1.24","52.5
7.8
1.30","57.0
8.5
1.33","61.0
9.1
1.38"
,800,"13.6
2.0
1.02","16.1
2.5
1.04","19.6
3.1
1.07","22.9
3.7
1.03","26.3
4.2
1.04","30.2
4.9
1.05","34.0
5.5
1.08","37.6
6.1
1.20","42.5
6.9
1.23","45.9
7.6
1.19","49.6
8.2
1.25","53.3
8.9
1.24","58.0
9.6
1.34"
,900,"13.7
2.4
1.00","15.4
2.8
1.00","18.2
3.4
1.00","21.2
4.0
1.00","24.4
4.6
1.00","27.6
5.2
1.00","30.8
6.0
1.00","33.8
6.6
1.12","36.7
7.3
1.13","41.6
8.2
1.11","43.8
8.8
1.15","46.7
9.5
1.12","50.9
10.3
1.19"
,"1,000","13.9
3.0
1.54","14.7
3.1
1.45","18.1
4.0
1.42","20.1
4.5
1.29","24.2
5.4
1.22","26.3
6.0
1.17","28.9
6.7
1.16","31.3
7.3
1.03","35.2
8.2
1.08","36.6
8.7
1.01","41.6
9.7
1.05","42.3
9.9
1.03","46.4
11.1
1.06"
,"1,100","14.1
3.5
1.54","14.7
3.6
1.42","18.1
4.4
1.35","20.2
5.2
1.25","22.4
5.8
1.16","25.7
6.7
1.16","28.0
7.4
1.10","30.6
8.2
1.03","32.9
8.9
1.03","35.7
9.7
1.00","40.6
10.9
1.04","41.2
11.2
1.01","42.9
11.7
1.02"
,"1,200","15.3
4.2
1.50","15.7
4.3
1.38","18.5
5.2
1.38","20.7
5.8
1.28","22.1
6.4
1.15","25.6
7.6
1.15","27.3
8.2
1.10","29.4
8.9
1.00","31.7
9.7
1.00","35.1
10.7
1.00","36.4
11.3
1.00","40.9
12.4
1.00","42.3
12.9
1.00"
,"1,300","15.6
4.8
1.56","16.3
5.0
1.49","18.3
5.6
1.42","20.1
6.2
1.30","23.3
7.4
1.21","24.6
8.1
1.14","27.4
9.0
1.15","29.0
9.8
1.01","31.4
10.5
1.02","33.3
11.4
1.01","36.0
12.3
1.01","41.1
13.8
1.02","42.0
14.2
1.01"
16,750,"15.6
1.8
1.08","18.4
2.2
1.14","21.3
2.6
1.14","23.9
2.9
1.18","27.2
3.3
1.18","29.4
3.6
1.14","32.6
4.0
1.22","35.6
4.4
1.23","40.5
5.0
1.20","44.2
5.5
1.22","44.8
5.5
1.29","49.1
6.1
1.40","52.0
6.5
1.37"
,800,"14.6
1.8
1.05","17.1
2.2
1.09","19.3
2.6
1.08","21.7
2.9
1.09","24.4
3.3
1.12","27.1
3.7
1.07","29.8
4.0
1.22","32.2
4.4
1.13","34.7
4.7
1.11","37.2
5.1
1.12","42.2
5.8
1.26","42.7
5.8
1.27","46.0
6.4
1.25"
,900,"14.0
2.1
1.00","15.2
2.3
1.00","17.9
2.8
1.00","19.4
3.1
1.00","20.9
3.3
1.00","23.6
3.8
1.00","25.3
4.1
1.00","27.2
4.4
1.00","29.8
4.8
1.00","31.7
5.2
1.00","33.1
5.5
1.08","36.1
6.0
1.12","37.5
6.3
1.10"
,"1,000","14.1
2.5
1.52","15.2
2.8
1.49","17.5
3.2
1.42","19.1
3.5
1.39","20.9
3.9
1.34","23.0
4.3
1.23","25.2
4.8
1.25","26.6
5.1
1.22","27.9
5.3
1.15","30.2
5.9
1.16","31.5
6.2
1.03","33.4
6.6
1.07","36.0
7.1
1.07"
,"1,100","14.3
3.0
1.51","14.9
3.1
1.46","17.7
3.6
1.34","19.4
4.1
1.37","20.5
4.4
1.26","22.3
4.8
1.19","24.2
5.2
1.20","25.7
5.7
1.18","27.4
6.2
1.13","29.5
6.6
1.12","31.0
7.0
1.01","32.4
7.4
1.04","35.2
8.0
1.06"
,"1,200","15.5
3.6
1.47","15.6
3.6
1.41","16.7
3.8
1.34","18.8
4.4
1.33","20.2
4.8
1.27","21.4
5.2
1.18","22.8
5.6
1.16","25.0
6.2
1.17","26.2
6.6
1.11","28.3
7.2
1.10","30.2
7.7
1.01","31.9
8.2
1.05","33.2
8.6
1.01"
,"1,300","15.3
4.0
1.49","15.9
4.2
1.44","17.3
4.5
1.39","18.6
4.9
1.34","21.3
5.8
1.33","22.2
5.9
1.22","22.3
6.1
1.18","23.4
6.5
1.14","26.5
7.4
1.13","27.1
7.7
1.11","28.7
8.2
1.00","29.8
8.6
1.00","31.1
9.0
1.00"
17,800,"16.6
1.8
1.07","19.7
2.2
1.10","22.4
2.6
1.12","25.3
2.9
1.12","28.9
3.3
1.12","31.7
3.7
1.12","34.5
4.0
1.10","37.0
4.4
1.08","41.0
4.8
1.09","44.7
5.2
1.27","48.7
5.7
1.33","52.2
6.2
1.35","52.3
6.2
1.33"
,900,"15.1
1.9
1.00","17.4
2.3
1.00","19.1
2.6
1.00","21.6
3.0
1.00","24.4
3.3
1.00","26.5
3.7
1.00","29.4
4.1
1.00","31.5
4.4
1.00","34.3
4.8
1.00","36.2
5.1
1.13","38.3
5.4
1.15","41.7
5.9
1.14","46.0
6.7
1.18"
,"1,000","14.2
2.1
1.44","16.9
2.6
1.41","18.3
2.9
1.36","21.0
3.3
1.39","23.1
3.6
1.21","25.2
4.0
1.23","27.3
4.4
1.15","29.1
4.8
1.16","30.9
5.1
1.11","33.1
5.5
1.07","36.1
6.0
1.09","36.7
6.2
1.07","41.5
7.0
1.11"
,"1,100","14.6
2.6
1.43","17.4
3.0
1.34","19.1
3.4
1.32","20.3
3.7
1.26","21.8
4.0
1.16","24.4
4.5
1.15","26.0
4.9
1.10","27.7
5.3
1.08","29.5
5.7
1.06","31.2
6.0
1.00","32.6
6.3
1.02","36.0
7.1
1.05","40.1
7.7
1.07"
,"1,200","15.3
3.0
1.38","15.8
3.1
1.28","18.4
3.7
1.32","19.7
4.0
1.25","21.2
4.4
1.14","22.5
4.7
1.11","25.8
5.6
1.10","27.0
5.9
1.07","28.5
6.2
1.02","30.7
6.8
1.02","32.0
7.1
1.01","33.4
7.5
1.01","36.1
8.1
1.02"
,"1,300","15.7
3.5
1.44","16.3
3.6
1.38","18.4
4.2
1.35","20.2
4.7
1.31","21.5
5.0
1.19","22.4
5.3
1.13","24.7
6.0
1.08","26.6
6.5
1.08","28.0
6.8
1.06","29.3
7.2
1.02","30.6
7.6
1.00","31.9
7.9
1.01","34.3
8.6
1.02"
,"1,400","15.6
3.9
1.46","16.2
4.1
1.36","17.7
4.4
1.33","19.8
5.0
1.28","21.8
5.6
1.20","22.9
6.0
1.13","23.8
6.3
1.06","26.1
7.1
1.08","27.6
7.5
1.06","29.0
7.9
1.00","30.4
8.4
1.00","32.3
8.9
1.00","33.3
9.3
1.00"
18,900,"16.3
1.8
1.00","19.3
2.2
1.00","22.0
2.6
1.00","24.8
2.9
1.00","28.0
3.3
1.00","30.5
3.6
1.00","33.4
4.0
1.00","37.5
4.5
1.03","38.8
4.8
1.17","44.9
5.5
1.21","45.7
5.7
1.17","49.5
6.1
1.24","52.9
6.6
1.26"
,"1,000","15.2
2.0
1.38","17.3
2.3
1.29","19.6
2.6
1.27","22.8
3.1
1.16","25.0
3.5
1.12","26.8
3.8
1.09","29.2
4.1
1.08","31.1
4.4
1.06","33.2
4.8
1.06","36.4
5.3
1.10","40.9
5.9
1.09","41.7
6.1
1.08","43.2
6.3
1.10"
,"1,100","15.7
2.3
1.31","18.2
2.8
1.25","20.4
3.1
1.26","21.3
3.4
1.10","24.4
3.9
1.11","26.8
4.3
1.08","28.0
4.6
1.03","29.2
4.8
1.01","31.8
5.3
1.02","35.3
5.9
1.07","36.0
6.1
1.05","41.1
6.9
1.06","41.8
7.0
1.04"
,"1,200","16.0
2.7
1.32","18.3
3.1
1.29","19.8
3.5
1.22","21.6
3.8
1.13","22.7
4.1
1.06","26.0
4.8
1.07","27.5
5.1
1.03","29.1
5.5
1.02","30.7
5.8
1.02","32.6
6.3
1.04","36.3
7.0
1.03","37.0
7.2
1.02","41.2
7.9
1.03"
,"1,300","15.5
2.9
1.33","16.5
3.1
1.25","18.7
3.6
1.21","21.1
4.2
1.11","22.1
4.5
1.06","24.4
5.1
1.04","26.3
5.5
1.01","27.6
5.8
1.01","30.0
6.4
1.00","31.7
6.8
1.03","33.1
7.1
1.01","35.7
7.7
1.01","37.1
8.2
1.01"
,"1,400","15.8
3.4
1.36","17.2
3.7
1.27","18.7
4.1
1.20","22.1
4.9
1.16","23.0
5.2
1.08","24.0
5.5
1.03","26.6
6.1
1.03","27.8
6.5
1.00","29.7
7.1
1.00","31.0
7.4
1.00","32.6
7.8
1.00","35.4
8.5
1.00","39.7
9.3
1.01"
,"1,600","19.1
4.9
1.51","19.4
4.9
1.35","20.2
5.1
1.25","21.1
5.4
1.12","24.8
6.6
1.12","26.0
7.0
1.09","27.6
7.5
1.04","29.1
7.9
1.03","30.6
8.6
1.02","33.3
9.2
1.03","38.0
10.2
1.03","38.4
10.5
1.00","39.2
10.9
1.00"
19,"1,000","17.3
2.0
1.10","18.9
2.2
1.04","22.2
2.6
1.06","25.0
3.0
1.07","27.1
3.3
1.11","30.0
3.7
1.09","32.7
4.1
1.11","37.6
4.7
1.15","37.6
4.7
1.11","41.5
5.2
1.12","46.1
5.9
1.16","46.1
5.9
1.12","49.9
6.4
1.15"
,"1,100","17.4
2.2
1.04","19.2
2.5
1.02","21.1
2.9
1.01","23.2
3.2
1.02","25.9
3.6
1.05","27.5
3.9
1.02","30.0
4.3
1.04","32.0
4.6
1.03","35.6
5.2
1.05","39.5
5.7
1.07","41.4
6.1
1.05","42.1
6.2
1.06","43.5
6.4
1.04"
,"1,200","16.2
2.3
1.00","19.6
3.0
1.01","20.5
3.2
1.00","22.3
3.5
1.00","25.8
4.1
1.05","26.7
4.3
1.00","28.2
4.6
1.00","30.6
5.1
1.01","33.0
5.5
1.03","36.3
6.1
1.05","37.3
6.3
1.01","41.5
6.9
1.05","42.9
7.2
1.04"
,"1,300","16.3
2.7
1.06","18.4
3.1
1.00","20.4
3.5
1.00","22.4
3.9
1.02","24.6
4.4
1.04","26.5
4.7
1.02","28.2
5.2
1.03","30.1
5.5
1.03","32.6
6.1
1.02","34.0
6.4
1.04","36.8
6.9
1.03","41.6
7.8
1.08","42.7
8.0
1.05"
,"1,400","16.2
3.0
1.05","18.4
3.5
1.00","20.9
4.0
1.05","21.8
4.3
1.00","23.6
4.7
1.00","26.1
5.2
1.00","27.9
5.7
1.00","29.8
6.1
1.00","31.4
6.5
1.00","33.5
7.1
1.00","36.4
7.7
1.04","41.1
8.5
1.06","41.7
8.7
1.03"
,"1,600","19.8
4.3
1.16","19.8
4.3
1.03","22.3
4.9
1.06","24.5
5.6
1.06","26.3
6.1
1.07","27.4
6.4
1.02","29.7
7.1
1.05","35.9
8.1
1.09","36.4
8.4
1.04","37.2
8.7
1.03","37.7
8.9
1.00","39.7
9.6
1.00","43.8
10.4
1.03"
,"1,800","21.4
5.4
1.18","21.4
5.4
1.05","21.8
5.6
1.03","23.1
6.2
1.02","26.8
7.2
1.09","28.0
7.6
1.05","29.0
8.1
1.04","30.2
8.5
1.00","31.8
9.1
1.00","34.5
9.8
1.00","39.4
11.1
1.04","40.2
11.5
1.02","41.1
11.8
1.00"
20,"1,000","18.1
1.8
1.05","20.8
2.2
1.09","24.6
2.6
1.09","27.6
2.9
1.12","30.3
3.3
1.09","33.4
3.6
1.11","37.1
4.1
1.14","42.0
4.6
1.18","45.1
5.0
1.17","49.1
5.4
1.19","49.3
5.5
1.17","52.7
5.9
1.19","57.5
6.4
1.27"
,"1,100","18.3
2.1
1.00","20.3
2.4
1.05","22.8
2.7
1.02","25.2
3.1
1.06","27.7
3.4
1.03","30.1
3.7
1.04","32.7
4.1
1.05","35.8
4.5
1.09","40.6
5.1
1.11","42.0
5.4
1.07","43.5
5.6
1.08","46.1
6.0
1.07","50.4
6.6
1.14"
,"1,200","18.1
2.3
1.02","19.7
2.6
1.01","22.2
3.0
1.02","24.1
3.3
1.04","27.1
3.8
1.02","28.4
4.0
1.01","30.9
4.4
1.03","33.8
4.9
1.07","36.6
5.3
1.06","41.3
6.0
1.06","42.1
6.2
1.05","44.2
6.6
1.08","47.3
7.1
1.08"
,"1,300","18.1
2.6
1.04","19.7
3.0
1.03","21.5
3.3
1.02","24.3
3.8
1.04","26.2
4.1
1.01","28.4
4.6
1.01","30.1
4.9
1.02","32.0
5.2
1.04","34.2
5.6
1.03","37.0
6.1
1.02","41.2
6.8
1.04","42.6
7.1
1.05","43.5
7.2
1.04"
,"1,400","17.4
2.8
1.00","18.7
3.1
1.00","21.0
3.6
1.00","22.6
3.9
1.00","25.7
4.5
1.00","27.5
4.9
1.00","28.8
5.2
1.00","31.7
5.8
1.03","33.1
6.1
1.01","36.5
6.8
1.01","41.1
7.5
1.04","41.9
7.7
1.03","42.7
7.9
1.03"
,"1,600","18.9
3.7
1.07","19.3
3.7
1.04","20.4
4.1
1.02","22.8
4.8
1.02","25.6
5.4
1.03","27.4
5.9
1.01","28.7
6.2
1.00","30.1
6.6
1.00","32.8
7.2
1.00","35.8
7.9
1.01","39.9
8.7
1.01","40.8
9.0
1.01","42.3
9.4
1.01"
,"1,800","21.7
4.8
1.11","21.7
4.8
1.06","24.2
5.4
1.06","27.0
6.3
1.09","28.3
6.7
1.05","29.4
7.1
1.03","30.5
7.4
1.01","37.1
8.8
1.07","37.7
9.2
1.04","38.3
9.5
1.00","39.8
9.8
1.00","44.5
10.9
1.00","45.2
11.3
1.00"
22,"1,100","20.3
1.8
1.06","23.4
2.2
1.02","26.7
2.5
1.06","30.1
2.9
1.07","33.8
3.3
1.10","36.7
3.6
1.11","41.0
4.0
1.13","45.6
4.6
1.15","49.3
5.0
1.16","53.1
5.4
1.20","53.4
5.4
1.21","57.8
5.8
1.29","61.9
6.3
1.32"
,"1,200","19.7
2.0
1.02","21.9
2.3
1.01","25.5
2.8
1.04","28.2
3.1
1.03","30.5
3.4
1.03","33.4
3.7
1.07","37.1
4.2
1.08","41.0
4.6
1.09","42.8
4.8
1.06","46.7
5.4
1.10","50.8
5.9
1.18","51.2
5.9
1.18","54.9
6.4
1.19"
,"1,300","19.2
2.2
1.03","21.6
2.5
1.01","24.1
2.9
1.01","26.6
3.3
1.00","28.3
3.5
1.02","31.8
4.0
1.06","33.7
4.3
1.04","37.2
4.8
1.06","41.7
5.3
1.05","43.3
5.6
1.06","44.8
5.8
1.10","51.3
6.8
1.17","52.1
6.8
1.16"
,"1,400","18.6
2.4
1.00","21.6
2.8
1.00","23.3
3.1
1.00","26.7
3.7
1.00","28.6
4.0
1.01","31.7
4.5
1.03","33.7
4.8
1.04","36.4
5.3
1.05","41.3
5.9
1.04","42.5
6.1
1.04","44.0
6.4
1.05","46.0
6.7
1.09","52.3
7.8
1.14"
,"1,600","18.8
2.8
1.03","21.9
3.5
1.01","22.9
3.7
1.00","26.0
4.3
1.00","28.6
4.8
1.00","30.4
5.2
1.00","32.1
5.5
1.00","36.3
6.3
1.06","40.6
6.9
1.01","42.0
7.4
1.02","42.8
7.6
1.03","43.8
7.7
1.04","48.7
8.6
1.10"
,"1,800","21.4
3.7
1.06","22.2
4.0
1.01","24.9
4.6
1.02","26.7
5.1
1.01","28.6
5.5
1.01","30.6
6.1
1.02","32.1
6.4
1.00","34.0
6.9
1.00","40.3
8.0
1.00","41.0
8.3
1.00","42.3
8.7
1.00","43.0
9.0
1.00","44.0
9.2
1.00"
,"2,000","22.7
4.5
1.10","26.1
5.0
1.12","27.0
5.4
1.09","28.4
6.0
1.05","29.9
6.6
1.03","36.8
7.6
1.11","38.2
8.3
1.10","39.4
8.6
1.08","39.9
8.9
1.01","44.0
9.6
1.06","45.1
10.2
1.08","46.1
10.5
1.07","51.1
11.3
1.12"
24,"1,200","21.8
1.8
1.02","25.5
2.2
1.04","29.2
2.6
1.07","32.5
2.9
1.06","36.5
3.3
1.10","41.1
3.7
1.09","45.6
4.2
1.10","49.7
4.6
1.17","53.1
4.9
1.21","57.5
5.3
1.23","61.8
5.7
1.29","66.4
6.1
1.26","66.9
6.2
1.22"
,"1,300","21.4
2.0
1.01","24.5
2.4
1.01","27.0
2.6
1.02","29.4
2.9
1.00","32.8
3.3
1.05","36.4
3.7
1.03","41.9
4.3
1.07","42.9
4.4
1.08","47.1
4.9
1.11","51.2
5.3
1.13","55.1
5.8
1.15","59.7
6.3
1.16","60.2
6.3
1.13"
,"1,400","21.2
2.2
1.00","23.7
2.6
1.00","26.6
2.9
1.00","29.3
3.2
1.00","31.8
3.6
1.02","36.1
4.1
1.04","41.3
4.7
1.04","42.9
4.9
1.06","45.1
5.2
1.10","51.5
6.1
1.12","52.2
6.2
1.09","52.6
6.2
1.03","60.3
7.2
1.11"
,"1,600","21.9
2.7
1.03","23.2
3.0
1.02","27.3
3.6
1.05","29.8
4.0
1.02","31.1
4.2
1.00","33.9
4.7
1.00","40.7
5.5
1.03","42.2
5.8
1.05","43.6
6.1
1.07","44.3
6.3
1.07","50.2
7.2
1.07","53.4
7.8
1.04","53.7
7.8
1.00"
,"1,800","22.8
3.2
1.02","27.2
3.9
1.05","27.5
4.1
1.02","29.7
4.6
1.02","31.8
5.1
1.00","38.1
5.8
1.02","39.4
6.2
1.00","40.9
6.6
1.00","41.8
6.8
1.00","46.4
7.6
1.00","47.3
7.8
1.00","52.5
8.5
1.02","55.9
9.4
1.04"
,"2,000","27.5
4.3
1.15","28.3
4.4
1.09","30.5
5.3
1.09","43.7
6.4
1.29","44.6
7.0
1.26","45.9
7.3
1.21","46.7
7.6
1.16","47.7
8.1
1.15","48.4
8.4
1.14","50.1
8.9
1.09","50.9
9.1
1.06","51.9
9.5
1.00","53.2
9.8
1.00"
,"2,200","28.0
5.1
1.20","28.3
5.1
1.12","30.3
6.1
1.09","31.3
6.3
1.05","32.4
6.6
1.04","39.1
7.8
1.06","39.8
8.1
1.01","40.4
8.4
1.01","45.0
9.0
1.07","46.4
9.6
1.02","47.4
9.9
1.01","52.7
10.7
1.04","53.9
11.2
1.02"
