OWSJ                                                                                                            Uniform Load (kN/m),,,,,,,,,,,,,,
9,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
9,,Self Wt (kg/m),9.8,10.5,10.9,12.6,13.5,16.6,16.9,17.3,20.2,21.9,22.1,25.7
9,762,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,14,16
9,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
9,,Self Wt (kg/m),11.7,12.1,12.1,14.9,14.9,18.0,19.1,25.0,25.3,24.6,24.8,27.4
9,813,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
9,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
10,,Self Wt (kg/m),9.7,12.5,15.1,19.0,21.5,24.2,27.3,30.0,33.0,38.4,42.0,45.1
10,457,WL/360 (kN/m),2,2,3,4,4,4,5,5,6,7,7,8
10,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0
10,,Self Wt (kg/m),10.0,11.9,15.1,17.2,19.5,22.5,25.7,27.1,30.4,33.4,38.9,41.6
10,508,WL/360 (kN/m),2,3,3,4,4,5,6,6,7,8,8,9
10,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
10,,Self Wt (kg/m),10.1,12.1,13.4,16.1,19.3,20.7,23.9,26.3,27.5,30.7,32.8,36.7
10,559,WL/360 (kN/m),2,3,4,5,5,5,7,7,7,8,9,10
10,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
10,,Self Wt (kg/m),10.2,11.7,13.4,15.6,17.8,20.0,22.2,24.7,26.9,27.7,30.4,31.6
10,610,WL/360 (kN/m),3,3,4,5,6,7,8,8,8,9,10,10
10,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
10,,Self Wt (kg/m),10.2,10.6,12.6,15.7,16.5,20.1,21.2,23.9,26.6,26.9,29.9,31.6
10,660,WL/360 (kN/m),3,4,4,6,6,7,8,9,10,10,11,12
10,,Bridg. (H/X/EX),2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
10,,Self Wt (kg/m),9.6,10.5,12.8,14.2,16.5,20.2,21.4,21.6,24.2,27.1,27.6,30.5
10,711,WL/360 (kN/m),3,4,5,6,6,9,9,9,11,12,12,13
10,,Bridg. (H/X/EX),2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
10,,Self Wt (kg/m),9.8,10.7,12.5,14.4,16.7,19.0,21.5,21.8,24.0,26.2,28.9,29.4
10,762,WL/360 (kN/m),3,4,5,7,7,8,10,10,12,13,14,14
10,,Bridg. (H/X/EX),2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
10,,Self Wt (kg/m),13.6,13.7,13.9,16.1,17.3,18.8,21.6,22.0,23.1,25.9,27.0,31.2
10,813,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
10,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
10,,Self Wt (kg/m),13.8,13.9,14.3,16.3,16.7,18.7,19.8,22.9,23.7,27.4,27.9,29.5
10,914,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
10,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
11,,Self Wt (kg/m),11.2,13.3,17.1,19.6,24.5,26.4,29.9,32.8,38.4,42.5,44.8,45.0
11,508,WL/360 (kN/m),2,2,3,3,4,4,5,6,6,7,7,7
11,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0
11,,Self Wt (kg/m),10.2,13.2,15.8,19.0,21.5,24.3,27.3,30.3,33.4,39.3,41.0,42.1
11,559,WL/360 (kN/m),2,3,3,4,5,5,6,6,7,8,9,9
11,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
11,,Self Wt (kg/m),10.1,12.2,15.3,17.8,19.8,22.1,26.0,27.9,30.7,33.0,37.9,42.1
11,610,WL/360 (kN/m),2,3,4,4,5,6,6,7,8,8,9,10
11,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
11,,Self Wt (kg/m),10.3,12.5,13.9,16.4,19.8,22.4,24.9,27.4,31.0,31.3,34.2,39.1
11,660,WL/360 (kN/m),3,3,4,5,6,7,7,7,9,9,10,11
11,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
11,,Self Wt (kg/m),10.3,12.1,14.0,16.7,18.7,21.6,24.0,27.5,28.2,30.5,31.7,38.3
11,711,WL/360 (kN/m),3,4,4,5,6,7,8,9,9,10,11,12
11,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
11,,Self Wt (kg/m),10.4,11.4,13.2,16.7,19.0,21.5,23.1,25.9,27.5,28.8,31.8,32.4
11,762,WL/360 (kN/m),3,4,5,6,7,8,8,10,10,11,12,12
11,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
11,,Self Wt (kg/m),13.6,13.8,14.0,17.1,19.2,21.7,22.4,25.7,26.8,30.1,30.9,32.4
11,813,WL/360 (kN/m),3,4,5,6,8,9,9,11,12,13,13,14
11,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
11,,Self Wt (kg/m),13.9,14.1,14.3,17.5,19.0,20.4,23.5,25.6,27.0,28.6,31.6,32.2
11,914,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
11,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
11,,Self Wt (kg/m),12.4,12.8,15.2,15.5,20.2,20.5,24.1,24.9,25.2,28.2,32.1,32.3
11,1016,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
11,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
12,,Self Wt (kg/m),11.6,15.4,19.1,24.3,26.7,29.9,34.4,42.3,42.8,51.4,57.1,57.1
12,508,WL/360 (kN/m),2,2,3,3,4,4,4,5,5,6,7,7
12,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0
12,,Self Wt (kg/m),12.0,15.1,17.3,21.5,23.7,28.2,30.4,39.0,42.8,42.2,45.1,52.0
12,559,WL/360 (kN/m),2,2,3,4,4,5,5,6,7,7,7,8
12,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
12,,Self Wt (kg/m),11.6,13.4,17.5,19.8,24.0,26.7,30.0,34.1,39.6,41.0,42.8,45.3
12,610,WL/360 (kN/m),2,3,3,4,5,5,6,6,7,8,8,8
12,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
12,,Self Wt (kg/m),10.4,13.6,16.0,19.9,24.1,24.5,27.3,30.8,33.4,38.0,42.9,45.2
12,660,WL/360 (kN/m),2,3,3,4,6,5,6,7,8,8,9,10
12,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
12,,Self Wt (kg/m),10.4,12.7,15.9,18.4,20.9,23.8,27.0,30.8,31.5,34.2,39.1,43.3
12,711,WL/360 (kN/m),2,3,4,5,5,6,7,8,8,9,10,11
12,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
12,,Self Wt (kg/m),10.5,12.8,14.2,18.6,20.4,23.7,26.3,29.0,30.4,32.1,38.5,40.0
12,762,WL/360 (kN/m),3,3,4,5,6,7,8,8,9,9,11,11
12,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
12,,Self Wt (kg/m),13.5,13.6,16.7,17.5,20.7,22.6,24.7,27.5,30.5,32.2,36.3,39.1
12,813,WL/360 (kN/m),3,4,5,5,6,7,8,9,10,11,12,13
12,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
12,,Self Wt (kg/m),13.8,14.1,16.3,18.8,21.7,22.8,26.1,27.2,29.4,31.3,36.8,38.7
12,914,WL/360 (kN/m),3,4,5,7,8,9,10,11,12,13,15,15
12,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
12,,Self Wt (kg/m),12.3,13.5,16.0,18.4,20.2,23.6,26.2,27.2,29.7,30.4,32.4,37.6
12,1016,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
12,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
13,,Self Wt (kg/m),13.1,17.3,21.3,23.8,27.5,32.8,39.0,42.8,45.3,52.0,57.6,58.2
13,559,WL/360 (kN/m),2,2,3,3,4,4,5,5,6,6,7,7
13,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0
13,,Self Wt (kg/m),12.2,15.8,19.6,21.8,26.2,30.5,33.3,38.7,41.8,45.6,52.4,58.6
13,610,WL/360 (kN/m),2,2,3,3,4,5,5,6,6,7,7,9
13,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
13,,Self Wt (kg/m),12.4,15.6,17.9,21.9,24.5,29.0,30.6,37.5,41.1,42.2,45.0,52.7
13,660,WL/360 (kN/m),2,3,3,4,4,5,5,6,7,7,8,9
13,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
13,,Self Wt (kg/m),12.0,14.1,18.0,20.2,25.2,27.6,30.6,34.1,38.1,42.1,44.5,45.2
13,711,WL/360 (kN/m),2,3,4,4,5,5,6,7,8,9,9,9
13,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
13,,Self Wt (kg/m),10.7,14.0,16.7,20.3,25.1,26.9,29.1,32.7,36.3,39.2,42.1,44.5
13,762,WL/360 (kN/m),2,3,4,5,6,6,7,7,9,9,10,10
13,,Bridg. (H/X/EX),3/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
13,,Self Wt (kg/m),13.5,14.7,17.3,20.7,21.7,25.6,28.2,31.4,31.7,38.2,39.5,45.6
13,813,WL/360 (kN/m),3,4,4,5,5,7,7,8,9,10,10,12
13,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
13,,Self Wt (kg/m),13.9,13.9,17.3,19.2,21.9,26.2,28.0,30.6,32.3,37.8,39.1,40.8
13,914,WL/360 (kN/m),3,4,5,6,7,9,9,10,11,12,13,13
13,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
13,,Self Wt (kg/m),13.0,17.1,16.5,20.4,23.4,26.3,26.8,29.7,32.0,35.9,39.3,39.4
13,1016,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,13,15,15
13,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
13,,Self Wt (kg/m),13.7,16.4,20.1,20.9,22.1,27.4,29.7,29.5,31.5,33.7,39.4,39.6
13,1219,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
13,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
14,,Self Wt (kg/m),13.3,17.5,21.9,26.2,30.2,32.9,42.4,41.5,51.5,57.0,57.9,62.0
14,610,WL/360 (kN/m),2,2,3,3,4,4,5,5,6,7,7,7
14,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0
14,,Self Wt (kg/m),13.5,17.8,20.0,24.9,28.5,33.3,38.7,43.0,45.2,51.7,57.5,57.9
14,660,WL/360 (kN/m),2,2,3,3,4,5,5,6,6,7,8,8
14,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0
14,,Self Wt (kg/m),12.6,16.3,20.1,24.9,27.2,30.9,34.2,37.9,42.6,45.4,52.7,57.9
14,711,WL/360 (kN/m),2,3,3,4,4,5,6,6,7,7,8,10
14,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0
14,,Self Wt (kg/m),12.7,16.0,18.7,25.1,25.0,30.8,32.8,37.0,42.6,44.9,51.2,53.1
14,762,WL/360 (kN/m),2,3,3,5,5,6,6,7,8,8,9,10
14,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0
14,,Self Wt (kg/m),13.6,16.7,20.4,21.6,25.8,28.2,31.5,34.1,39.9,43.2,46.0,51.8
14,813,WL/360 (kN/m),2,3,4,4,6,6,7,7,8,9,10,11
14,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0
14,,Self Wt (kg/m),13.7,17.0,19.0,21.8,26.7,27.1,31.1,32.7,36.9,39.5,42.7,47.9
14,914,WL/360 (kN/m),3,4,4,5,7,7,8,9,10,11,11,13
14,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
14,,Self Wt (kg/m),12.7,15.1,17.7,21.3,23.4,27.3,28.9,32.0,36.7,38.5,39.9,42.8
14,1016,WL/360 (kN/m),3,4,5,7,7,9,9,10,12,12,13,14
14,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
14,,Self Wt (kg/m),12.1,12.6,16.5,22.2,23.8,27.5,28.1,28.8,33.3,33.7,34.6,41.0
14,1118,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,13,13,16
14,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
14,,Self Wt (kg/m),14.1,15.0,17.6,21.1,23.0,27.0,30.2,30.7,32.6,35.4,39.9,41.6
14,1219,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
14,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
15,,Self Wt (kg/m),13.7,17.8,22.4,27.7,30.3,38.4,41.5,45.2,57.1,58.2,62.5,66.4
15,660,WL/360 (kN/m),2,2,3,3,4,4,5,5,7,7,7,7
15,,Bridg. (H/X/EX),3/0/0,3/0/0,3/0/0,3/0/0,3/0/0,3/0/0,3/0/0,3/0/0,3/0/0,3/0/0,3/0/0,3/0/0
15,,Self Wt (kg/m),13.8,18.2,22.6,25.0,30.4,33.1,42.2,42.2,51.8,57.6,57.7,62.1
15,711,WL/360 (kN/m),2,2,3,3,4,5,6,6,7,8,8,8
15,,Bridg. (H/X/EX),3/0/0,3/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0
15,,Self Wt (kg/m),13.9,18.3,20.2,24.7,27.7,32.2,39.1,42.2,45.7,52.6,57.8,58.0
15,762,WL/360 (kN/m),2,3,3,4,4,5,6,7,7,8,9,9
15,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0
15,,Self Wt (kg/m),13.6,17.2,21.9,24.6,28.0,31.1,33.8,39.4,45.7,45.9,52.9,58.0
15,813,WL/360 (kN/m),2,3,4,4,5,6,6,7,8,8,9,10
15,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0
15,,Self Wt (kg/m),13.9,17.2,21.7,23.2,27.7,30.7,31.9,38.2,40.0,46.6,51.3,52.2
15,914,WL/360 (kN/m),2,3,4,5,6,7,7,9,9,10,11,11
15,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0
15,,Self Wt (kg/m),13.1,16.5,19.5,22.8,27.1,28.6,31.7,36.9,40.2,43.0,47.1,51.6
15,1016,WL/360 (kN/m),3,4,5,6,7,7,8,10,11,11,12,14
15,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0
15,,Self Wt (kg/m),12.1,13.8,17.0,21.8,27.5,28.1,28.8,32.8,34.5,41.0,41.5,41.5
15,1118,WL/360 (kN/m),3,4,5,7,8,9,9,10,11,13,13,13
15,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
15,,Self Wt (kg/m),13.8,16.2,19.9,21.6,24.1,27.7,30.4,32.2,34.6,39.9,42.4,43.0
15,1219,WL/360 (kN/m),3,4,5,7,8,9,10,11,12,14,15,15
15,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0
15,,Self Wt (kg/m),14.5,16.2,21.5,24.9,27.4,29.3,30.7,32.3,35.3,40.1,42.6,44.3
15,1321,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
15,,Bridg. (H/X/EX),2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,1/0/0,1/0/0
16,,Self Wt (kg/m),14.0,18.3,22.2,25.2,27.9,30.6,33.4,37.9,41.1,43.5,45.7,52.2
16,711,WL/360 (kN/m),1,2,3,3,3,3,4,4,5,5,5,6
16,,Bridg. (H/X/EX),2/0/1,2/0/1,2/0/1,2/0/1,2/0/1,2/0/1,2/0/1,2/0/1,2/0/1,2/0/1,2/0/1,2/0/1
16,,Self Wt (kg/m),14.2,18.4,20.1,22.6,24.8,29.4,31.2,36.6,37.9,41.4,44.6,51.1
16,762,WL/360 (kN/m),2,2,3,3,3,4,4,5,5,5,6,6
16,,Bridg. (H/X/EX),2/0/1,3/0/0,3/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0
16,,Self Wt (kg/m),13.7,16.2,19.7,23.8,25.6,27.4,30.4,33.7,38.0,38.1,42.8,45.8
16,813,WL/360 (kN/m),2,2,3,4,4,4,4,5,6,6,6,7
16,,Bridg. (H/X/EX),2/0/1,3/0/0,3/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0
16,,Self Wt (kg/m),13.0,16.4,19.7,21.4,26.0,26.9,28.5,31.6,33.0,38.0,39.7,44.6
16,914,WL/360 (kN/m),2,3,3,4,5,5,5,6,6,7,7,8
16,,Bridg. (H/X/EX),3/0/0,3/0/0,3/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0,2/0/0
16,,Self Wt (kg/m),13.0,16.2,18.5,22.3,23.1,26.7,27.4,29.4,32.5,36.5,37.9,39.7
